T_c,pert_scale,rep,C,bv,tc_times_bv,tau2_learned,n_shrunk,mean_delta_norm,auroc_poolA,auroc_poolB,auroc_hnavar,auroc_cold,hn_minus_poolB,hn_minus_cold,mse_poolA,mse_poolB,mse_hnavar,mse_cold,mse_hn_vs_poolB,mse_hn_vs_cold
25,1.0,7,20,0.27058160612301235,6.764540153075309,0.9743221998214722,0,0.8979677617983208,0.8747474747474747,0.9545454545454544,0.7792929292929293,0.5681818181818181,-0.1752525252525251,0.21111111111111114,0.8363754630088807,0.8568534702062607,0.8114340886473655,0.9006900668144227,-0.04541938155889513,-0.0892559781670571
40,0.05,0,20,0.1698873413198475,6.7954936527939,0.7601048946380615,0,0.04102799781772224,0.9423076923076923,0.9346153846153846,0.8478021978021978,0.5950549450549449,-0.08681318681318684,0.25274725274725285,0.9337655425071716,0.9499829828739166,0.9512444928288459,1.0103027090430259,0.0012615099549293518,-0.05905821621417995
40,0.05,1,20,0.14889685025838528,5.955874010335411,0.7431134581565857,0,0.04155223435201862,0.9447916666666668,0.8927083333333334,0.8052083333333334,0.49531249999999993,-0.08750000000000002,0.3098958333333335,0.855111013352871,0.836581964790821,0.9058527544140815,0.9329487085342407,0.0692707896232605,-0.027095954120159194
40,0.05,2,20,0.16283455500299837,6.513382200119935,0.7452922463417053,0,0.037440774243974025,0.926923076923077,0.9241758241758242,0.8395604395604396,0.5313186813186813,-0.08461538461538465,0.30824175824175826,1.0307056248188018,1.0529527097940445,1.0876105427742004,1.1202153891324997,0.0346578329801559,-0.0326048463582993
40,0.05,3,20,0.1540610025022716,6.162440100090864,0.7078535556793213,0,0.04593686528483105,0.894270833333333,0.9130208333333334,0.7869791666666666,0.5229166666666667,-0.12604166666666683,0.26406249999999987,1.0016708970069885,1.001652643084526,1.0331540733575821,1.0670958057045936,0.031501430273056075,-0.03394173234701148
40,0.05,4,20,0.16203253796761924,6.48130151870477,0.7775125503540039,0,0.05029759618975042,0.9838383838383837,0.9343434343434345,0.8126262626262626,0.5535353535353535,-0.12171717171717189,0.25909090909090904,0.9947969257831574,1.0027444034814834,1.0209616243839263,1.0763508975505829,0.018217220902442932,-0.05538927316665654
40,0.05,5,20,0.16331936356409127,6.532774542563651,0.7852129936218262,0,0.0375765654671814,1.0,1.0,0.9595238095238094,0.6160714285714285,-0.040476190476190554,0.34345238095238095,0.9028962582349778,0.9174927532672882,0.933544734120369,1.02167167365551,0.016051980853080794,-0.08812693953514106
40,0.05,6,20,0.16506438615391475,6.60257544615659,0.6871353983879089,0,0.04085315502012255,0.9686666666666668,0.9773333333333334,0.8626666666666667,0.5593333333333333,-0.1146666666666667,0.30333333333333334,0.955843260884285,0.9763115331530571,1.0040978133678435,1.07500007301569,0.027786280214786463,-0.07090225964784636
40,0.05,7,20,0.15948847349894982,6.3795389399579925,0.7468218207359314,0,0.04692858643851887,0.9794999999999998,0.9419999999999998,0.8779999999999999,0.587,-0.06399999999999995,0.2909999999999999,1.003236322104931,1.0421039372682572,1.0711142033338548,1.1605134189128876,0.029010266065597534,-0.08939921557903285
40,0.25,0,20,0.16799187673783267,6.719675069513307,0.7628422379493713,0,0.24572154162543955,0.9970000000000001,0.9944999999999998,0.9085000000000001,0.578,-0.08599999999999974,0.3305000000000001,0.9299592047929763,0.9419523268938065,0.9556823313236237,1.0432438969612121,0.0137300044298172,-0.08756156563758843
