country_id,country_name,regime,T_c,polyarchy_last,delta_norm,pool_score_norm,mse_pool_A,mse_pool_B,mse_hnavar,mse_cold,tau2_learned,BV,CRC,seed
121,Kazakhstan,authoritarian,17,0.242,0.0023130474146455526,0.002761432435363531,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
122,Kyrgyzstan,hybrid,17,0.322,0.0038229338824748993,0.004530915524810553,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
123,Laos,authoritarian,36,0.091,0.010653465054929256,0.012327475473284721,0.30648794770240784,0.3564170002937317,0.320513516664505,0.37016478180885315,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
124,Libya,authoritarian,43,0.072,0.005392980761826038,0.006240626331418753,0.04250373691320419,0.09050071239471436,0.02413153648376465,0.0789102241396904,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
125,Madagascar,hybrid,28,0.429,0.007594170980155468,0.008520359173417091,0.21656553447246552,0.1329060196876526,0.13663636147975922,0.26561662554740906,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
126,Moldova,hybrid,17,0.434,0.004440102260559797,0.005251480266451836,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
127,Namibia,hybrid,24,0.655,0.01535122562199831,0.017036816105246544,0.04092121869325638,0.08764366805553436,0.05236731469631195,0.05779802054166794,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
129,Rwanda,authoritarian,33,0.114,0.008100203238427639,0.009249378927052021,0.08817458897829056,0.19418486952781677,0.20966662466526031,0.4477103352546692,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
131,Sri Lanka,hybrid,32,0.533,0.00492961285635829,0.005438081454485655,0.08982802927494049,0.13811275362968445,0.061590563505887985,0.06520728766918182,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
132,Swaziland,authoritarian,31,0.127,0.002472177380695939,0.002991217654198408,0.08091691136360168,0.09063655883073807,0.07864216715097427,0.09982334822416306,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
133,Tajikistan,authoritarian,17,0.229,0.009066303260624409,0.011033017188310623,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
134,Togo,hybrid,31,0.303,0.008028117939829826,0.009027115069329739,0.05728158727288246,0.08660249412059784,0.11263137310743332,0.08537084609270096,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
135,Trinidad and Tobago,democracy,41,0.743,0.0050154333002865314,0.005819287616759539,0.3963831961154938,0.4292105436325073,0.4879075586795807,0.410888671875,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
136,Turkmenistan,authoritarian,17,0.134,0.004217041656374931,0.005108198616653681,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
140,Uzbekistan,authoritarian,17,0.16,0.0024631633423268795,0.002919485094025731,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
144,Austria,democracy,63,0.86,0.006874793209135532,0.007922203280031681,0.028103861957788467,0.0948554128408432,0.03112098202109337,0.05746439844369888,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
148,Belgium,democracy,91,0.885,0.007104409392923117,0.007713834289461374,0.04111986979842186,0.15752455592155457,0.048646628856658936,0.09754849970340729,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
152,Bulgaria,democracy,79,0.723,0.012807830236852169,0.014478172175586224,0.09374981373548508,0.15636040270328522,0.10616916418075562,0.19952403008937836,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
154,Croatia,democracy,16,0.789,0.006737356539815664,0.007578584831207991,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
155,Cuba,authoritarian,74,0.114,0.013267830945551395,0.01479818020015955,0.048494718968868256,0.06827691197395325,0.0827745646238327,0.0703858956694603,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
157,Czech Republic,democracy,15,0.902,0.001036472269333899,0.0011957405367866158,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
158,Denmark,democracy,92,0.909,0.004447954706847668,0.004931451752781868,0.014362262561917305,0.2415684461593628,0.02201075479388237,0.027741435915231705,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
161,Estonia,democracy,17,0.873,0.004351725336164236,0.005078576505184174,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
163,Finland,democracy,78,0.875,0.005652738735079765,0.006429779343307018,0.07866381853818893,0.16625094413757324,0.06569664180278778,0.10509141534566879,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
164,Greece,democracy,81,0.893,0.012470533140003681,0.013938693329691887,0.022391263395547867,0.08758868277072906,0.042307861149311066,0.016690194606781006,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
169,Israel,democracy,52,0.763,0.0030834150966256857,0.0033892509527504444,0.09611830860376358,0.13108253479003906,0.1522446572780609,0.23321862518787384,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
171,Kuwait,authoritarian,17,0.281,0.0024472628720104694,0.0033721227664500475,0.3453478515148163,0.4144178032875061,0.16277427971363068,0.19926582276821136,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
173,Lithuania,democracy,17,0.825,0.002812894294038415,0.0034630189184099436,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
176,Macedonia,hybrid,16,0.588,0.004748946987092495,0.0052681961096823215,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
177,Malaysia,authoritarian,38,0.282,0.004153728019446135,0.004755351692438126,0.03592049330472946,0.07523531466722488,0.04749871790409088,0.09859862178564072,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
185,New Zealand,democracy,85,0.884,0.003026040503755212,0.0035290028899908066,0.014637182466685772,0.12692363560199738,0.016503117978572845,0.019421914592385292,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
186,Norway,democracy,92,0.891,0.007363774813711643,0.008337716571986675,0.0862497091293335,0.2186754196882248,0.08848445862531662,0.07787058502435684,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
187,Oman,authoritarian,17,0.158,0.0020304610952734947,0.002357938326895237,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
189,Paraguay,hybrid,54,0.543,0.007962698116898537,0.008854791522026062,0.006417601369321346,0.07395808398723602,0.02529873698949814,0.1449800431728363,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
190,Romania,hybrid,90,0.594,0.009981474839150906,0.011334702372550964,0.11202982813119888,0.15306851267814636,0.08439342677593231,0.28835785388946533,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
197,Saudi Arabia,authoritarian,53,0.018,0.0020311065018177032,0.002366989850997925,0.15077082812786102,0.20100171864032745,0.11680521816015244,0.21520261466503143,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
202,Slovenia,democracy,17,0.828,0.001385754207149148,0.001685498165898025,,,,,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
210,Hungary,democracy,77,0.849,0.012850501574575901,0.014256082475185394,0.05789477750658989,0.18628931045532227,0.15919886529445648,0.09082072973251343,0.7946745753288269,0.5638879781768867,0.15845021215463878,42
